[47, 45, 1, 14, 55, 32]
[14, 25, 43, 54, 44, 32]
[28, 24, 43, 50, 31, 51]
[3, 35, 25, 8, 27, 24]
[1, 21, 36, 32, 20, 40]
[30, 23, 44, 48, 8, 57]
[36, 7, 10, 37, 31, 44]
[17, 36, 18, 26, 27, 35]
[1, 25, 29, 2, 30, 23]
[48, 35, 14, 28, 33, 25]
[34, 6, 30, 18, 31, 35]
[44, 8, 42, 55, 6, 27]
[36, 20, 17, 41, 3, 35]
[43, 58, 17, 54, 30, 45]
[41, 30, 31, 32, 58, 26]
[17, 43, 28, 11, 34, 29]
[17, 35, 48, 52, 24, 36]
[12, 58, 36, 16, 49, 38]
[58, 56, 43, 34, 49, 5]
[26, 5, 37, 15, 45, 7]
[6, 35, 56, 28, 2, 15]
[24, 43, 54, 4, 16, 36]
[14, 28, 31, 17, 19, 9]
[26, 10, 56, 51, 12, 18]
[12, 41, 13, 49, 3, 50]
[16, 30, 17, 25, 47, 3]
[18, 48, 33, 15, 53, 56]
[23, 41, 7, 18, 53, 51]
[20, 47, 27, 19, 17, 7]
[15, 40, 46, 21, 56, 18]
[26, 8, 11, 37, 12, 33]
[51, 11, 41, 13, 2, 9]
[20, 15, 13, 47, 39, 24]
[9, 33, 1, 17, 36, 54]
[39, 42, 6, 9, 48, 26]
[13, 30, 51, 55, 35, 5]
[51, 3, 28, 40, 9, 46]
[36, 17, 18, 35, 7, 2]
[13, 14, 24, 46, 42, 37]
[17, 58, 7, 19, 46, 22]
[19, 25, 33, 4, 29, 22]
[37, 58, 38, 23, 12, 6]
[35, 48, 22, 1, 29, 18]
[4, 57, 15, 13, 17, 8]
[22, 9, 5, 37, 54, 14]
[17, 3, 50, 55, 35, 12]
[35, 23, 28, 36, 50, 20]
[28, 9, 48, 20, 51, 13]
[20, 17, 54, 29, 52, 9]
[45, 8, 29, 52, 44, 50]
[11, 5, 58, 48, 33, 10]
[9, 48, 11, 43, 42, 26]
[48, 11, 42, 28, 12, 21]
[47, 51, 4, 9, 53, 14]
[58, 28, 17, 11, 50, 4]
[43, 24, 26, 55, 5, 58]
[24, 50, 6, 17, 53, 7]
[43, 47, 31, 8, 23, 32]
[20, 51, 42, 8, 27, 39]
[44, 27, 41, 23, 13, 5]
[34, 36, 19, 26, 54, 4]
[23, 24, 56, 4, 6, 19]
[16, 50, 41, 2, 54, 4]
[39, 40, 33, 32, 52, 58]
[38, 22, 45, 44, 53, 29]
[14, 33, 23, 47, 39, 9]
[42, 51, 53, 58, 8, 50]
[24, 32, 10, 30, 57, 43]
[1, 36, 48, 5, 30, 44]
[45, 7, 11, 10, 8, 38]
[50, 42, 10, 25, 32, 49]
[53, 21, 31, 2, 30, 42]
[48, 15, 52, 5, 2, 19]
[43, 30, 8, 12, 28, 23]
[4, 31, 41, 25, 27, 40]
[48, 42, 56, 40, 43, 11]
[21, 54, 48, 35, 42, 23]
[23, 5, 26, 21, 50, 30]
[42, 29, 23, 26, 37, 33]
[51, 54, 49, 44, 2, 8]
[39, 33, 8, 51, 32, 42]
[48, 21, 25, 5, 8, 41]
[5, 4, 8, 20, 39, 7]
[48, 16, 37, 13, 35, 38]
[18, 36, 11, 50, 34, 6]
[24, 14, 50, 46, 30, 28]
[37, 55, 53, 57, 15, 2]
[33, 27, 21, 18, 9, 2]
[3, 12, 49, 2, 10, 42]
[7, 10, 38, 58, 5, 30]
[17, 28, 32, 53, 35, 20]
[21, 39, 40, 14, 32, 26]
[18, 31, 8, 11, 24, 17]
[29, 25, 14, 19, 21, 22]
[37, 10, 19, 29, 7, 1]
[54, 41, 32, 7, 18, 29]
[58, 36, 12, 30, 27, 4]
[44, 13, 28, 53, 15, 12]
[47, 29, 46, 30, 27, 55]
[5, 55, 52, 30, 56, 26]
[6, 37, 33, 12, 58, 28]
[55, 38, 46, 35, 22, 28]
[13, 5, 58, 39, 46, 17]
[43, 13, 30, 26, 29, 38]
[34, 23, 57, 48, 20, 32]
[37, 8, 26, 24, 43, 34]
[3, 45, 4, 35, 18, 11]
[16, 53, 51, 42, 15, 31]
[1, 22, 55, 12, 20, 25]
[5, 36, 19, 26, 38, 58]
[51, 10, 26, 48, 21, 25]
[31, 12, 58, 15, 25, 10]
[19, 4, 48, 3, 26, 30]
[46, 47, 22, 11, 49, 25]
[18, 52, 56, 4, 23, 28]
[25, 14, 10, 50, 1, 52]
[57, 38, 11, 26, 28, 30]
[24, 20, 15, 46, 38, 31]
[5, 41, 15, 27, 6, 1]
[8, 14, 28, 57, 15, 42]
[19, 36, 44, 3, 13, 56]
[7, 55, 20, 23, 12, 28]
[22, 8, 10, 11, 56, 49]
[10, 47, 43, 4, 52, 44]
[45, 7, 13, 35, 42, 55]
[43, 13, 11, 39, 1, 46]
[51, 35, 14, 27, 1, 12]
[25, 49, 37, 26, 27, 43]
[30, 47, 53, 2, 21, 1]
[31, 33, 58, 12, 49, 15]
[57, 48, 24, 17, 46, 31]
[31, 1, 13, 29, 25, 48]
[57, 4, 26, 22, 37, 46]
[47, 42, 57, 3, 30, 1]
[33, 36, 28, 51, 56, 43]
[48, 54, 56, 33, 23, 51]
[56, 48, 3, 6, 43, 41]
[2, 31, 23, 48, 16, 33]
[52, 22, 48, 17, 23, 57]
[29, 9, 21, 30, 22, 52]
[34, 6, 54, 29, 10, 7]
[36, 56, 23, 27, 58, 28]
[3, 48, 7, 42, 33, 58]
[36, 2, 21, 15, 23, 53]
[48, 4, 6, 42, 13, 24]
[55, 9, 47, 34, 57, 3]
[38, 9, 6, 29, 58, 18]
[16, 25, 29, 22, 9, 57]
[15, 29, 50, 32, 33, 21]
[34, 48, 8, 19, 56, 5]
[36, 50, 46, 51, 41, 6]
[45, 27, 6, 17, 9, 19]
[4, 46, 5, 40, 53, 26]
[18, 40, 13, 55, 50, 35]
[19, 45, 16, 18, 5, 3]
[32, 44, 2, 52, 55, 56]
[44, 29, 51, 16, 31, 19]
[35, 44, 5, 20, 53, 56]
[50, 2, 38, 41, 17, 40]
